fish_id,fish_name,weight_kg,length_cm,catch_date,province,fishing_method,freshness_score,category_id,location_id,fisher_id,category_name,habitat,avg_price_per_kg,location_name,latitude,longitude,water_depth_m,temperature_celsius,salinity_ppt,fisher_name,experience_years,boat_type,boat_capacity_kg,home_port,license_number
1,Catfish,19.83,115.1,7/6/2023,Papua,Trap,3.0,4,4,381,Freshwater Fish,Rivers/Lakes,45000,Laut Jawa Zone D,-8.014815,100.237065,2780,29.8,33.5,Nelayan_381,26,Motor Boat,3264,Sulawesi Selatan,LIC250393
2,Carp,21.02,101.8,11/19/2023,Sulawesi Selatan,Hand Line,10.0,4,12,337,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_337,19,Motor Boat,4236,Sulawesi Selatan,LIC493492
3,Anchovy,43.1,184.4,5/1/2023,Jawa Timur,Purse Seine,4.0,2,18,144,Demersal Fish,Sea Bottom,120000,Laut Jawa Zone H,0.689541,101.236256,2306,24.8,33.7,Nelayan_144,10,Motor Boat,3465,Sumatera Utara,LIC411388
4,Sole,36.27,106.9,5/25/2023,Maluku,Gill Net,10.0,1,13,271,Pelagic Fish,Open Ocean,85000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_271,5,Motor Boat,1004,Bali,LIC129483
5,Sole,15.7,162.8,3/29/2023,Jawa Timur,Trawling,2.0,3,20,244,Reef Fish,Coral Reef,150000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_244,13,Trawler,379,Papua,LIC188541
6,King Fish,12.2,58.2,8/30/2023,Jawa Tengah,Hand Line,6.0,2,12,254,Demersal Fish,Sea Bottom,120000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_254,33,Trawler,1943,Maluku,LIC667428
7,King Fish,46.33,117.3,4/5/2023,Sumatera Utara,Gill Net,9.0,4,19,307,Freshwater Fish,Rivers/Lakes,45000,Laut Bali Zone I,-5.670297,111.70617,481,27.2,30.6,Nelayan_307,1,Motor Boat,1884,Jawa Tengah,LIC618629
8,Salmon,41.02,101.4,11/3/2023,Bali,Trawling,8.0,4,2,338,Freshwater Fish,Rivers/Lakes,45000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_338,38,Fishing Vessel,2858,Lampung,LIC914901
9,Snapper,28.42,74.7,3/16/2023,Kalimantan Selatan,Gill Net,1.0,2,1,377,Demersal Fish,Sea Bottom,120000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_377,36,Trawler,1975,Maluku,LIC432791
10,Sardine,36.45,95.3,2/8/2023,Jawa Barat,Long Line,10.0,1,16,44,Pelagic Fish,Open Ocean,85000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_044,3,Traditional Boat,1498,Papua,LIC450637
